Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,0.1uf,
"C10, C11, C12, C5, C7, C8, C9",0603,7,0.1u,
"C13, C4",CP_Radial_D12.5mm_P5.00mm,2,1000μF35V,
C6,0603,1,0.47u,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",0603,10,LED,
IC1,SOIC127P600X175-8N,1,MCP2562,
"J1, J2, J3",AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,3,Conn_01x02,
"J4, J5",AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,2,Conn_01x02,
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J7, J8",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,2,Conn_01x04,
J9,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
"Q1, Q2, Q3",SOP_Advance,3,RS6L120BGTB1,
"R1, R3, R5, R7",0603,4,100k,
R10,0603,1,120,
"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20",0603,10,1k,
"R2, R4, R6, R8, R9",0603,5,10k,
SW1,switch_TVAF06-A020B-R,1,SW_Push,
SW2,CJS1200A1,1,SW_SPDT_312,
"U1, U2, U3",TSOT-23-6,3,LM5050-1,
U4,SOT-23-5_HandSoldering,1,NJM12888F33,
U5,LQFP-32_7x7mm_P0.8mm,1,STM32G431K8Tx,
